epoch,train_loss,valid_loss,accuracy,error_rate,precision,recall,time
0,2.142532,0.949854,0.689944,0.310056,0.711183,0.697076,04:42
1,1.325410,0.667454,0.790503,0.209497,0.804185,0.792757,00:53
2,0.942451,0.644186,0.812849,0.187151,0.821646,0.815099,00:51
3,0.697801,0.591751,0.801676,0.198324,0.807484,0.806007,00:51
4,0.529596,0.546106,0.826816,0.173184,0.836376,0.829893,00:50
5,0.437254,0.533755,0.821229,0.178771,0.827295,0.824500,00:51
