epoch,train_loss,valid_loss,accuracy,error_rate,precision,recall,time
0,0.163908,0.713453,0.837989,0.162011,0.850651,0.840084,00:51
1,0.258957,1.811463,0.720670,0.279330,0.789959,0.717049,00:50
2,0.324626,0.636324,0.857542,0.142458,0.859254,0.860396,00:51
3,0.284961,0.457019,0.891061,0.108939,0.891020,0.884511,00:51
4,0.203581,0.414208,0.888268,0.111732,0.888372,0.883781,00:53
5,0.147072,0.369637,0.902235,0.097765,0.901211,0.899378,00:51
