epoch,train_loss,valid_loss,accuracy,error_rate,precision,recall,time
0,0.184099,0.602202,0.824022,0.175978,0.830515,0.825181,00:50
1,0.249174,0.715590,0.840782,0.159218,0.848653,0.835204,00:49
2,0.290820,0.798356,0.829609,0.170391,0.841944,0.827702,00:50
3,0.244728,0.465385,0.891061,0.108939,0.890109,0.889746,00:49
4,0.174128,0.413650,0.913408,0.086592,0.911665,0.911439,00:50
5,0.120942,0.385172,0.913408,0.086592,0.911673,0.912555,00:50
