epoch,train_loss,valid_loss,accuracy,error_rate,precision,recall,time
0,0.377437,0.517347,0.854749,0.145251,0.858354,0.853276,00:50
1,0.365767,0.820566,0.798883,0.201117,0.814569,0.801661,00:50
2,0.350240,0.535833,0.865922,0.134078,0.874343,0.863656,00:50
3,0.274598,0.471909,0.877095,0.122905,0.882482,0.879006,00:51
4,0.202401,0.381532,0.902235,0.097765,0.903297,0.903918,00:52
5,0.154199,0.371271,0.902235,0.097765,0.902649,0.903412,00:50
