epoch,train_loss,valid_loss,accuracy,error_rate,precision,recall,time
0,1.898766,0.760611,0.779330,0.220670,0.797898,0.774519,01:04
1,1.167564,0.747235,0.801676,0.198324,0.809113,0.795637,01:02
2,0.806762,0.547961,0.835196,0.164804,0.847235,0.833801,01:04
3,0.623260,0.469358,0.846369,0.153631,0.856076,0.844644,01:02
4,0.460727,0.415104,0.851955,0.148045,0.851828,0.850265,01:01
5,0.367969,0.405703,0.854749,0.145251,0.856508,0.852813,01:02
