epoch,train_loss,valid_loss,accuracy,error_rate,precision,recall,time
0,1.884792,0.919489,0.776536,0.223464,0.786230,0.779634,00:52
1,1.210427,0.710668,0.801676,0.198324,0.803559,0.803029,00:52
2,0.882237,0.594868,0.829609,0.170391,0.830484,0.828469,00:52
3,0.658887,0.530056,0.843575,0.156425,0.840089,0.840919,00:52
4,0.493232,0.487820,0.871508,0.128492,0.870773,0.868072,00:51
5,0.384002,0.483476,0.865922,0.134078,0.865039,0.862600,00:51
