epoch,train_loss,valid_loss,accuracy,error_rate,precision,recall,time
0,1.688931,0.822033,0.793296,0.206704,0.795665,0.792300,02:01
1,1.055703,0.747751,0.796089,0.203911,0.799256,0.796130,00:50
2,0.736866,0.631066,0.818436,0.181564,0.823555,0.817492,00:51
3,0.537005,0.517877,0.829609,0.170391,0.835342,0.827268,00:50
4,0.390691,0.484710,0.854749,0.145251,0.858509,0.852827,00:50
5,0.302553,0.469175,0.865922,0.134078,0.868281,0.864022,00:49
