epoch,train_loss,valid_loss,accuracy,error_rate,precision,recall,time
0,1.805170,0.976012,0.675978,0.324022,0.676312,0.676497,02:32
1,1.068685,0.592187,0.810056,0.189944,0.811925,0.807720,00:51
2,0.700122,0.586347,0.824022,0.175978,0.830120,0.820325,00:51
3,0.511149,0.565516,0.837989,0.162011,0.837826,0.837843,00:52
4,0.376184,0.505074,0.846369,0.153631,0.847322,0.843136,00:51
5,0.285779,0.483450,0.849162,0.150838,0.848724,0.846431,00:51
