epoch,train_loss,valid_loss,accuracy,error_rate,precision,recall,time
0,2.527219,1.125597,0.597765,0.402235,0.631803,0.600602,00:53
1,1.583283,0.621003,0.804469,0.195531,0.809561,0.802396,00:51
2,1.138288,0.601358,0.826816,0.173184,0.826996,0.824794,00:51
3,0.851978,0.542007,0.857542,0.142458,0.859287,0.857512,00:51
4,0.676584,0.538938,0.832402,0.167598,0.839980,0.832085,00:52
5,0.557700,0.532527,0.837989,0.162011,0.843861,0.838468,00:51
