epoch,train_loss,valid_loss,accuracy,error_rate,precision,recall,time
0,2.137668,1.104617,0.617318,0.382682,0.646172,0.617705,02:27
1,1.292338,0.579800,0.826816,0.173184,0.832528,0.831454,00:53
2,0.883625,0.510376,0.818436,0.181564,0.819800,0.819700,00:52
3,0.668874,0.477681,0.846369,0.153631,0.847898,0.844935,00:53
4,0.507123,0.434725,0.843575,0.156425,0.844403,0.842821,00:52
5,0.419548,0.424010,0.846369,0.153631,0.846320,0.846595,00:54
