epoch,train_loss,valid_loss,accuracy,error_rate,precision,recall,time
0,0.142296,0.396769,0.874302,0.125698,0.875652,0.872373,00:52
1,0.158461,0.705250,0.832402,0.167598,0.840886,0.837879,00:53
2,0.202182,0.667376,0.835196,0.164804,0.847158,0.834774,00:53
3,0.176828,0.490591,0.860335,0.139665,0.862627,0.864697,00:52
4,0.126634,0.385178,0.899441,0.100559,0.901129,0.903559,00:54
5,0.094196,0.370272,0.899441,0.100559,0.902293,0.901609,00:52
