epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.2783810496330261,1.5328967571258545,0.0,0.0,0.46484375,1.5144420862197876,0.0,0.0
1,0.502467930316925,1.4964457750320435,0.9756097793579102,0.03948667272925377,0.5625,1.4772725105285645,0.8888888955116272,0.09375
2,0.5784797668457031,1.4601720571517944,0.9481865167617798,0.18065153062343597,0.59375,1.4463398456573486,0.949999988079071,0.22265625
3,0.6219151020050049,1.4295002222061157,0.9283387660980225,0.2813425362110138,0.609375,1.4206397533416748,0.9146341681480408,0.29296875
4,0.6515300869941711,1.4049433469772339,0.8740919828414917,0.35636723041534424,0.640625,1.4020462036132812,0.8785046935081482,0.3671875
5,0.6771964430809021,1.3848470449447632,0.8787878751754761,0.42941758036613464,0.62109375,1.3899239301681519,0.8479999899864197,0.4140625
6,0.6900296211242676,1.367445707321167,0.8647260069847107,0.49851924180984497,0.65234375,1.374708652496338,0.835616409778595,0.4765625
7,0.70703125,1.3515352010726929,0.8736681938171387,0.560546875,0.65234375,1.3611520528793335,0.8333333134651184,0.52734375
8,0.7333984375,1.33864164352417,0.8667621612548828,0.5908203125,0.65625,1.3517663478851318,0.8255813717842102,0.5546875
9,0.7482724785804749,1.326137661933899,0.875,0.6219151020050049,0.6796875,1.3385729789733887,0.8277778029441833,0.58203125
10,0.7650542855262756,1.3140949010849,0.8759999871253967,0.6485686302185059,0.671875,1.331471562385559,0.813829779624939,0.59765625
11,0.7838104367256165,1.3025044202804565,0.8807692527770996,0.6781836152076721,0.69140625,1.321185827255249,0.8061224222183228,0.6171875
12,0.7966436147689819,1.293404221534729,0.8798988461494446,0.6870681047439575,0.70703125,1.3144147396087646,0.803108811378479,0.60546875
13,0.7956564426422119,1.282935380935669,0.8887515664100647,0.7097729444503784,0.7109375,1.3048804998397827,0.808080792427063,0.625
14,0.801579475402832,1.275516390800476,0.8831325173377991,0.7235932946205139,0.734375,1.2948906421661377,0.8106796145439148,0.65234375
15,0.8203356266021729,1.264028549194336,0.9029585719108582,0.7532082796096802,0.71484375,1.2926132678985596,0.801980197429657,0.6328125
16,0.8331688046455383,1.2560787200927734,0.9047058820724487,0.7591313123703003,0.71875,1.2849470376968384,0.8307692408561707,0.6328125
17,0.8341559767723083,1.249957799911499,0.9029240012168884,0.7620927691459656,0.71875,1.281622052192688,0.8163265585899353,0.625
18,0.8499506711959839,1.2423971891403198,0.9112149477005005,0.7699901461601257,0.73828125,1.2705304622650146,0.8418367505073547,0.64453125
19,0.8657453060150146,1.2339818477630615,0.9178082346916199,0.7936821579933167,0.734375,1.2653288841247559,0.8316831588745117,0.65625
