epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.14635775983333588,17.504135131835938,0.1460004597902298,0.14190243184566498,0.20440882444381714,6.893295764923096,0.2199999988079071,0.19839678704738617
1,0.20516818761825562,9.127066612243652,0.20886676013469696,0.19625751674175262,0.22645290195941925,4.779001712799072,0.2329411804676056,0.19839678704738617
2,0.23791490495204926,4.919595718383789,0.2507311999797821,0.21006906032562256,0.20841683447360992,3.4367470741271973,0.22727273404598236,0.16032063961029053
3,0.23724660277366638,3.180455207824707,0.27298954129219055,0.16863444447517395,0.24448898434638977,2.5611023902893066,0.3009708821773529,0.12424849718809128
4,0.2650924623012543,2.454287528991699,0.3379530906677246,0.1412341296672821,0.22845691442489624,2.2761576175689697,0.3481481373310089,0.0941883772611618
5,0.27912676334381104,2.2053871154785156,0.389090895652771,0.11918021738529205,0.2384769469499588,2.20503306388855,0.38181817531585693,0.08416833728551865
6,0.2938293516635895,2.0322325229644775,0.46244725584983826,0.12207618355751038,0.2625250518321991,2.1209163665771484,0.43396225571632385,0.09218437224626541
7,0.32501670718193054,1.9307268857955933,0.5320069193840027,0.13700155913829803,0.3086172342300415,2.0558948516845703,0.47191011905670166,0.08416833728551865
8,0.3417242169380188,1.8595843315124512,0.5847382545471191,0.14680328965187073,0.3066132366657257,2.0229315757751465,0.4712643623352051,0.08216433227062225
9,0.3599911034107208,1.7858847379684448,0.5803722739219666,0.1528179943561554,0.3126252591609955,1.9933767318725586,0.49056604504585266,0.10420841723680496
10,0.3822677731513977,1.7081125974655151,0.6368852257728577,0.17308977246284485,0.3366733491420746,1.9369208812713623,0.5428571701049805,0.11422845721244812
11,0.4020940065383911,1.6790493726730347,0.6412213444709778,0.1871240884065628,0.3346693515777588,1.9498974084854126,0.4909090995788574,0.10821643471717834
12,0.4183559715747833,1.6200895309448242,0.6681254506111145,0.2040543556213379,0.34669339656829834,1.894753336906433,0.5636363625526428,0.12424849718809128
13,0.4379594624042511,1.5712685585021973,0.6837209463119507,0.2292270064353943,0.3547094166278839,1.8719414472579956,0.5438596606254578,0.12424849718809128
14,0.46268656849861145,1.5185165405273438,0.7067468166351318,0.2356872409582138,0.36472946405410767,1.8548094034194946,0.5546218752861023,0.13226452469825745
15,0.4756070375442505,1.4600597620010376,0.7305764555931091,0.2597460448741913,0.3747495114803314,1.853674292564392,0.55474454164505,0.15230460464954376
16,0.4947649836540222,1.4236422777175903,0.7349544167518616,0.26932501792907715,0.36673346161842346,1.8373032808303833,0.5286624431610107,0.1663326621055603
17,0.5063488483428955,1.379298210144043,0.7575405836105347,0.29093340039253235,0.382765531539917,1.808526873588562,0.5771812200546265,0.17234468460083008
18,0.529071033000946,1.3266324996948242,0.7700329422950745,0.31254178285598755,0.37274548411369324,1.7808043956756592,0.5828220844268799,0.1903807669878006
19,0.550011157989502,1.2843468189239502,0.7789202928543091,0.33749163150787354,0.4068136215209961,1.7380090951919556,0.6187499761581421,0.19839678704738617
